src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;label
2;0;10;0.25;0.25;0.07182671874761581;0.07182671874761581;0.03273773193359375;760;0.20708446204662323;0.20708446204662323;0;0;10;0
7;11;30;0.75;0.75;0.928173303604126;0.928173303604126;0.4230499267578125;2910;0.7929155230522156;0.7929155230522156;30;0;0;0
1;0;63;0.5121951103210449;0.5121951103210449;0.19614453613758087;0.19614453613758087;0.1611175537109375;4788;0.4513574540615082;0.4513574540615082;0;0;63;0
5;11;30;0.24390244483947754;0.4878048896789551;0.06650691479444504;0.8038554787635803;0.054630279541015625;2910;0.2743212580680847;0.5486425161361694;30;0;0;0
6;11;30;0.24390244483947754;0.4878048896789551;0.7373485565185547;0.8038554787635803;0.6056747436523438;2910;0.2743212580680847;0.5486425161361694;30;0;0;0
3;11;30;1.0;1.0;1.0;1.0;18.419.647.216.796.800;2910;1.0;1.0;30;0;0;0
9;11;30;1.0;1.0;1.0;1.0;4.012.809.753.417.960;2910;1.0;1.0;30;0;0;0
1;11;30;1.0;1.0;1.0;1.0;3.972.991.943.359.370;2910;1.0;1.0;30;0;0;0
10;11;30;0.5555555820465088;0.5555555820465088;0.9151432514190674;0.9151432514190674;0.8497848510742188;2910;0.6147021651268005;0.6147021651268005;30;0;0;0
4;1;2;0.03703703731298447;0.03703703731298447;0.006622244603931904;0.006622244603931904;0.0061492919921875;152;0.03210815414786339;0.03210815414786339;0;0;2;0
1;0;22;0.40740740299224854;0.40740740299224854;0.07823450863361359;0.07823450863361359;0.0726470947265625;1672;0.3531896770000458;0.3531896770000458;0;0;22;0
9;11;30;1.0;1.0;1.0;1.0;0.7293853759765625;2910;1.0;1.0;30;0;0;0
4;11;30;1.0;1.0;1.0;1.0;29.856.491.088.867.100;2910;1.0;1.0;30;0;0;0
5;3;23;1.0;1.0;1.0;1.0;0.09496307373046875;2346;1.0;1.0;23;0;0;0
10;4;35;0.43209877610206604;0.43209877610206604;0.43268656730651855;0.43268656730651855;0.1158599853515625;2660;0.43209877610206604;0.43209877610206604;0;0;35;0
4;1;23;0.2839506268501282;0.2839506268501282;0.2838704288005829;0.2838704288005829;0.07601165771484375;1748;0.2839506268501282;0.2839506268501282;0;0;23;0
1;0;23;0.2839506268501282;0.2839506268501282;0.28344303369522095;0.28344303369522095;0.075897216796875;1748;0.2839506268501282;0.2839506268501282;0;0;23;0
8;11;30;0.4888888895511627;0.3333333432674408;0.652350902557373;0.546817421913147;0.23876953125;2910;0.531994640827179;0.38955822587013245;30;0;0;0
8;4;14;0.4888888895511627;0.15555556118488312;0.652350902557373;0.10553351789712906;0.04608154296875;1064;0.531994640827179;0.1424364149570465;0;0;14;0
4;1;23;0.25555557012557983;0.25555557012557983;0.1737983375787735;0.1737983375787735;0.07588958740234375;1748;0.23400267958641052;0.23400267958641052;0;0;23;0
1;0;23;0.25555557012557983;0.25555557012557983;0.17385074496269226;0.17385074496269226;0.0759124755859375;1748;0.23400267958641052;0.23400267958641052;0;0;23;0
3;5;7;1.0;1.0;1.0;1.0;0.028564453125;714;1.0;1.0;7;0;0;0
0;11;30;1.0;1.0;1.0;1.0;0.6024169921875;2910;1.0;1.0;30;0;0;0
5;2;9;0.3913043439388275;0.3913043439388275;0.3898836672306061;0.3898836672306061;0.0294036865234375;684;0.3913043439388275;0.3913043439388275;0;0;9;0
2;0;14;0.6086956262588501;0.6086956262588501;0.6101163625717163;0.6101163625717163;0.04601287841796875;1064;0.6086956262588501;0.6086956262588501;0;0;14;0
2;0;3;1.0;1.0;1.0;1.0;0.00948333740234375;228;1.0;1.0;0;0;3;0
1;11;30;1.0;0.508474588394165;1.0;0.7983821630477905;0.3795166015625;2910;1.0;0.5690262317657471;30;0;0;0
1;0;29;1.0;0.49152541160583496;1.0;0.20161782205104828;0.0958404541015625;2204;1.0;0.4309737980365753;0;0;29;0
